BARGAINTERMS_PRICE;PRICE_SQM;FLOORS_MAX;ROOMSCOUNT;TOTALAREA;LIVINGAREA;KITCHENAREA;REPAIRTYPE;COMBINEDWCSCOUNT;SEPARATEWCSCOUNT;BALCONIESCOUNT;LOGGIASCOUNT
4899990;130653;18;1;39,8;11;16;требуется ремонт;1;;1;
6300000;120148;16;2;54,1;26,1;16,5;косметический ремонт;1;0;0;0
12300000;116147;23;3;108;61,7;12,7;требуется ремонт;2;0;1;1
9500000;155521;;3;64,3;36,7;7,1;косметический ремонт;;1;1;
14000000;129646;23;3;115,7;78;12,7;требуется ремонт;1;1;1;1
12500000;211506;26;2;59,1;23,6;22,3;евроремонт;;1;;
4500000;99119;17;1;45,4;;;евроремонт;1;;;1
12300000;189231;;3;65;43;7,6;косметический ремонт;;1;;1
5100000;150000;8;1;34;15;9;требуется ремонт;;1;;1
9699000;251922;17;1;38,5;;12,5;дизайнерский ремонт;1;;1;0
9500000;263889;;1;36;15;10;евроремонт;0;1;1;
4098450;101699;15;1;40,3;17,2;8,9;требуется ремонт;1;;;1
9450000;270000;26;1;35;17;10,1;евроремонт;1;0;0;0
10450000;204902;;2;51;29;15;косметический ремонт;;1;;1
10300000;206000;;2;50;;;косметический ремонт;;;;
7000000;127273;18;2;55;30;15;евроремонт;;1;;1
12500000;192308;32;2;65;;11,3;требуется ремонт;1;1;;
12500000;104167;23;3;120;73;13;;2;0;1;1
9350000;124667;23;2;75;34;16;;2;0;0;1
9500000;115854;4;4;82;45;23;дизайнерский ремонт;1;;;1
7100000;104412;9;3;68;40;12;;;;;
7950000;104743;8;2;75,9;27;15;;;;;
6100000;105536;8;2;57,8;14,8;14;;;;;
6900000;89610;18;3;77;44;24;;;;;
6050000;158377;19;1;38,2;11;16,6;требуется ремонт;;;;
4100000;169421;18;;24,2;12;5;косметический ремонт;1;;;1
6700000;124304;;2;53,9;25;12;косметический ремонт;0;1;0;1
7800000;133106;23;1;58,6;21,8;17;требуется ремонт;1;;;1
22850000;219712;26;3;104;40;12;требуется ремонт;3;0;0;0
3200000;168421;;;19;15;;косметический ремонт;1;0;1;0
4500000;138889;;1;32,4;15,1;8,5;требуется ремонт;0;0;1;0
8990000;230513;;1;39;21;9;косметический ремонт;0;0;0;1
5200000;196296;26;;27;14;5;косметический ремонт;1;0;0;1
6000000;172857;18;1;35;14,3;10;дизайнерский ремонт;0;0;1;0
12000000;255319;;1;47;20;15;дизайнерский ремонт;1;;;
9000000;158333;23;1;60;22;18;евроремонт;1;0;1;1
4650000;121728;4;1;38,2;15,4;13,7;евроремонт;1;;1;
7200000;198895;19;1;36,2;18;10;евроремонт;1;;1;
9500000;175926;;2;54;32;9;косметический ремонт;;1;1;
3850000;94828;17;1;40,6;18,4;10;требуется ремонт;1;;;
10400000;208000;;2;50;29;15;косметический ремонт;;1;;1
4849000;172345;26;;29;16;7;евроремонт;1;;1;
3170000;148826;23;;21,3;;4;требуется ремонт;1;0;1;0
13000000;141304;18;3;92;58;10,2;требуется ремонт;1;1;1;
5500000;157143;18;1;35;;;косметический ремонт;0;0;1;0
7400000;125850;26;2;58,8;28,1;14,9;требуется ремонт;;;1;0
11500000;106481;23;3;108;68;12,7;требуется ремонт;2;0;0;2
8600000;128936;;2;66,7;31,3;17,6;требуется ремонт;0;2;0;1
4250000;141667;;1;30;17,4;5,7;косметический ремонт;1;;;
5900000;196667;;1;30;;20;требуется ремонт;0;1;1;0
5600000;186667;;1;30;;10;евроремонт;0;1;1;0
4600000;128852;10;1;35,7;;9,1;требуется ремонт;1;0;0;1
4500000;150000;4;1;30;21;6;косметический ремонт;0;0;1;0
8600000;250696;26;1;35,9;10,1;17;косметический ремонт;1;0;0;0
9450000;263231;26;1;35,9;10;17;евроремонт;;;;
4800000;165517;26;1;29;15;5;евроремонт;;;;
5600000;177941;18;1;34;15;10;дизайнерский ремонт;1;;;1
10990000;208144;23;2;52,8;40;6;;1;0;0;1
5100000;128173;19;1;39,79;11;16,6;требуется ремонт;1;0;1;0
12700000;239623;26;2;53;;19,5;евроремонт;0;0;0;0
11000000;220000;30;2;50;21,5;15;евроремонт;;1;;1
4800000;201613;26;;24,8;;;евроремонт;1;1;0;1
3570000;138372;10;;25,8;;6;косметический ремонт;0;1;1;0
4200000;164706;18;;25,5;15,6;4;евроремонт;1;;1;
5400000;98901;;2;54,6;25;9;косметический ремонт;;;1;
6700000;176316;;1;38;19;9,7;косметический ремонт;1;0;0;1
4950000;183333;26;;27;14;5;евроремонт;1;;;1
5000000;115473;14;1;43,3;16,6;15,4;требуется ремонт;1;0;0;1
3150000;92647;;;34;;;требуется ремонт;1;;;
7150000;123064;26;2;58,1;31;14;требуется ремонт;0;1;0;1
5200000;104839;;2;49,6;26;10;требуется ремонт;0;1;1;0
6650000;263889;26;;25,2;18,4;;;1;;;1
13600000;163855;23;2;83;55;13;требуется ремонт;1;1;;1
5090000;145714;8;1;35;16;8;требуется ремонт;1;;;1
5400000;116525;;2;47,2;30;6;косметический ремонт;0;1;1;0
4800000;201681;10;;23,8;21,1;;евроремонт;1;;;1
10500000;210000;;2;50;31;11;косметический ремонт;;1;1;
12750000;141667;;3;90;55;10;дизайнерский ремонт;1;;;1
9900000;359375;26;1;32;;;евроремонт;1;0;1;0
7830000;244688;;1;32;19;7;косметический ремонт;0;0;1;0
10600000;129268;22;2;82;38;17;;1;1;0;1
15000000;112782;23;3;133;63;28;требуется ремонт;2;;;1
8300000;242297;26;1;35,7;17;10;косметический ремонт;1;;;
18300000;231646;31;4;79;37;18,8;требуется ремонт;0;2;1;0
9400000;141780;26;3;66,3;43;5;косметический ремонт;2;;;2
8400000;152727;26;2;55;31,2;9;косметический ремонт;;1;;1
12900000;176712;;3;73;40;10;евроремонт;;;;
7000000;166667;8;1;42;30;11;требуется ремонт;1;;1;
6050000;164000;;1;37,5;;;евроремонт;1;;;
4100000;154135;18;1;26,6;15;5;косметический ремонт;1;0;1;0
7200000;204545;;1;35,2;19,4;10,6;евроремонт;1;;;
11000000;220000;30;2;50;22;15,9;евроремонт;0;1;0;1
6300000;111901;;3;56,3;34,7;6;требуется ремонт;0;1;1;0
13500000;207373;;2;65,1;35;11;косметический ремонт;0;1;;
15500000;210884;;3;73,5;45,5;9,7;косметический ремонт;0;1;;
6900000;156304;8;2;46;;9;требуется ремонт;;1;;1
8100000;238235;26;1;34;12;11;евроремонт;0;0;0;0
6750000;138178;;2;48,85;;;требуется ремонт;0;0;1;0
5850000;138955;5;1;42,1;;;дизайнерский ремонт;1;;;1
7000000;129390;16;2;54,1;30;18;требуется ремонт;1;0;0;0
3700000;108824;;1;34;18;6;евроремонт;0;0;0;0
4900000;156051;8;1;31,4;14,7;8;требуется ремонт;0;1;1;0
4800000;111804;;1;46,51;31,8;;косметический ремонт;1;0;1;0
7600000;135714;23;1;56;17,4;17,4;требуется ремонт;1;;;1
4970000;139216;10;1;35,7;;;требуется ремонт;1;;;1
5500000;121951;17;1;45,1;;16,1;евроремонт;0;0;1;0
9970000;205992;;2;48,4;26;9,1;косметический ремонт;1;;1;
